Alcohol and Cocaine Period										
No.	Name	Year	Word	Audible	Genres/Keywords	Movies	Read	Heard	Want	Comments
			Count							
150	The Cat from Hell	2008	5,717		short-story horror	1990 (Tales from the Darkside: The Movie)		1		Collection: Just After Sunset. Boring description: Cats are dangerous
151	The Gingerbread Girl	2008	21,292		novella horror	in development		1		Collection: Just After Sunset. Boring description: (please suggest)
152	The New York Times at Special Bargain Rates	2008	3,127		short-story horror			1		Collection: Just After Sunset. Boring description: (please suggest)
153	The Things They Left Behind	2008	11,571		short-story horror	2011 2012 2017		1		Collection: Just After Sunset. Boring description: (please suggest)
154	Willa	2008	8,520		short-story horror	2019 2019		1		Collection: Just After Sunset. Boring description: (please suggest)
155	1922	2010	51,282		novella horror	2017 (seen 1 time)				Collection: Full Dark, No Stars. Boring description: (please suggest)
156	A Good Marriage	2010	31,955		novella horror	2014 (seen 1 time)	1			Collection: Full Dark, No Stars. Boring description: Woman decides to end her marriage
157	Big Driver	2010	40,150		novella horror	2014				Collection: Full Dark, No Stars. Boring description: (please suggest)
158	Fair Extension	2010	10,843		novella horror					Collection: Full Dark, No Stars. Boring description: (please suggest)
159	Under the Dome	2009	331,018	34:24:00	novel scifi mystery	2013-2015 (tv series) (seen 1 time)		1		Aliens. Boring description: Barbie's Dream Dome
160	11-22-63	2011	269,543	30:40:00	novel scifi time-travel alternate-history	2016 (tv mini-series) (seen 1 time)		1		Time travel. Title also written 11.22.63 and 11/22/63. Ending changed after suggestion from son Joe Hill. Uses the word "obdurate" more than any other King novel. Boring description: Man finds way to buy cheap meat
161	The Dark Tower: The Wind Through the Keyhole	2012	91,598	10:26	novel scifi horror fantasy western gunslinger			1		Part 4.5. Alternate worlds. Boring description: (please suggest)
162	Joyland	2013	80,001	7:33	novel crime mystery supernatural	in development (want)		3		Supernatural. Only King book with the word "Absoloodle" Boring description: Guy works at amusement park and doesn't see a ghost
163	Doctor Sleep	2013	161,622	15:50	novel horror psychic-abilities shine	2019 (seen 3 times)		2		Mind powers. Sequel to The Shining. The name rube or rubes is used 67 times, by far more than in any other King book. Seen original 2 times and director's cut 1 time. Boring description: Man forms bond with niece when they get harassed by people in campers
164	Mr. Mercedes	2014	136,387	14:22	novel crime suspense mystery murder psychopath	2017 (Mr. Mercedes, season 1) (tv series) (seen 1 time)		2		Based in the real world. Sequel is Finders Keepers. Mr. Mercedes Seasons 1-3 are Books 1,3,2 in Bill Hodges trilogy. Part 1 of 7 in the Holly Gibney series. Boring description: Guy makes detective angry
165	Revival	2014	120,417	13:25	novel horror micracle healing	in development (want)		2		Mind powers. Boring description: A man has a series of strange interactions with his pastor
166	Finders Keepers	2015	123,477	13:05	novel crime suspense mystery murder psychopath telekinesis mind-control suicide	2019 (Mr. Mercedes, season 3) (tv series) (seen 1 time)		2		Sequel is End of Game. Based in the real world except for last paragraph where Brady demonstrates mind powers. Part 2 in Mr. Mercedes: Bill Hodges triliogy, skipped for streaming show Mr. Mercedes. Part 2 of 7 in the Holly Gibney series. Boring description: Guy wants to read unpublished book
167	A Death	2015	4,781	32:45:00	short-story crime historical			1		Collection: The Bazaar of Bad Dreams. Boring description: (please suggest)
168	Afterlife	2015	4,336	37:55:00	short-story fantasy psychological horror			1		Collection: The Bazaar of Bad Dreams. Boring description: (please suggest)
169	Bad Little Kid	2015	14,650	1:46:45	short-story horror	in development		1		Collection: The Bazaar of Bad Dreams. Boring description: Little boy doesn't grow up
170	Batman and Robin Have an Altercation	2015	4,784	32:52:00	short-story horror			1		Collection: The Bazaar of Bad Dreams. Boring description: Old guy has a moment of clarity
171	Blockade Billy	2015	15,578	1:41:09	novella suspense fiction			1		Collection: The Bazaar of Bad Dreams. Boring description: Dumb guy is good at baseball
172	Drunken Fireworks	2015	11,842	1:20:31	short-story horror	in development		3		Collection: The Bazaar of Bad Dreams. Boring description: Fireworks are dangerous
173	Herman Wouk Is Still Alive	2015	6,486	45:34:00	short-story horror			2		Collection: The Bazaar of Bad Dreams. Boring description: It's important to watch the road
174	Mile 81	2015	17,418	1:49:09	novella scifi horror	in development		2		Collection: The Bazaar of Bad Dreams. Boring description: Car from space eats people
175	Mister Yummy	2015	5,876	36:51:00	short-story horror			1		Collection: The Bazaar of Bad Dreams. Boring description: (please suggest)
